event_tapology_id,event_tapology_url,event_name,event_date_raw,event_date,promotion_name,promotion_tapology_id,promotion_tapology_url
11313,https://www.tapology.com/fightcenter/events/11313-cage-fight-9,PA Cage Fight 9,2011-Nov 25,2011-11-25,PACF,14,https://www.tapology.com/fightcenter/promotions/14-pa-cage-fight-pa-cf
34858,https://www.tapology.com/fightcenter/events/34858-the-ultimate-fighter-season-11-team-liddell-vs-team-ortiz,The Ultimate Fighter Season 11,2010-Feb 16,2010-02-16,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
6311,https://www.tapology.com/fightcenter/events/6311-ballroom-battleground-1,Ballroom Battleground 1,2009-Nov  4,2009-11-04,,,
33891,https://www.tapology.com/fightcenter/events/33891-the-ultimate-fighter-season-3,The Ultimate Fighter Season 3,2006-Feb  2,2006-02-02,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
4294,https://www.tapology.com/fightcenter/events/4294-ifc-11-montreal-cage-combat-2,IFC 11: Montreal Cage Combat 3,1999-Oct  9,1999-10-09,IFC,239,https://www.tapology.com/fightcenter/promotions/239-international-fighting-championship-ifc
34410,https://www.tapology.com/fightcenter/events/34410-the-ultimate-fighter-season-8-team-nogueira-vs-team-mir,The Ultimate Fighter Season 8,2008-Jun 16,2008-06-16,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
106975,https://www.tapology.com/fightcenter/events/106975-k-1-max-world-max-2008-round-3,K-1 MAX: World MAX 2008 (Round 3),2008-Oct  1,2008-10-01,K-1,68,https://www.tapology.com/fightcenter/promotions/68-k-1-premium-dynamite-k-1
75623,https://www.tapology.com/fightcenter/events/75623-shoot-boxing-25th-anniversary-series-1,Shoot Boxing,2010-Feb 13,2010-02-13,SB,1949,https://www.tapology.com/fightcenter/promotions/1949-shoot-boxing-sb
2309,https://www.tapology.com/fightcenter/events/2309-reality-fighting-5,Reality Fighting 5,2003-Nov  1,2003-11-01,RF,52,https://www.tapology.com/fightcenter/promotions/52-reality-fighting-rf
31361,https://www.tapology.com/fightcenter/events/31361-wfc-39,WFC 39,2015-May  9,2015-05-09,WFC,500,https://www.tapology.com/fightcenter/promotions/500-world-fighting-championships-wfc
29633,https://www.tapology.com/fightcenter/events/29633-rumble-at-raxx-22,Rumble at RAXX 22,2014-Aug  2,2014-08-02,RAXX,546,https://www.tapology.com/fightcenter/promotions/546-raxx-ultimate-fighting-raxx
18852,https://www.tapology.com/fightcenter/events/18852-usa-mma-21-stacked-3,USA MMA 21: Stacked 3,2013-May  3,2013-05-03,USA,321,https://www.tapology.com/fightcenter/promotions/321-united-states-association-of-mixed-martial-arts-usamma
41141,https://www.tapology.com/fightcenter/events/41141-gladiator-academy-summer-knockouts-3,Gladiator Academy,2012-Jul 28,2012-07-28,GP,583,https://www.tapology.com/fightcenter/promotions/583-gladiator-promotions-gp
13255,https://www.tapology.com/fightcenter/events/13255-gcc-2,GCC 2,2012-Jan 21,2012-01-21,NLE,439,https://www.tapology.com/fightcenter/promotions/439-gladiator-combat-championship-gcc
12878,https://www.tapology.com/fightcenter/events/12878-rumble-at-the-rodeo-12,Rumble at the Rodeo 12,2011-Oct 28,2011-10-28,RAXX,546,https://www.tapology.com/fightcenter/promotions/546-raxx-ultimate-fighting-raxx
7395,https://www.tapology.com/fightcenter/events/7395-usa-mma-13-stacked,USA MMA 13: Stacked,2010-Jul 31,2010-07-31,USA,321,https://www.tapology.com/fightcenter/promotions/321-united-states-association-of-mixed-martial-arts-usamma
8473,https://www.tapology.com/fightcenter/events/8473-kotc-free-fall,KOTC: Free Fall,2010-Oct 23,2010-10-23,KOTC,70,https://www.tapology.com/fightcenter/promotions/70-king-of-the-cage-kotc
7715,https://www.tapology.com/fightcenter/events/7715-kotc-underground-59-mccullogh-vs-janosek,KOTC Underground 59,2010-Jul 31,2010-07-31,KOTC,70,https://www.tapology.com/fightcenter/promotions/70-king-of-the-cage-kotc
2211,https://www.tapology.com/fightcenter/events/2211-extreme-brawl-1-the-beginning,Extreme Brawl 1,2002-Dec 15,2002-12-15,EB,650,https://www.tapology.com/fightcenter/promotions/650-extreme-brawl-uk-eb
2192,https://www.tapology.com/fightcenter/events/2192-excitefight-conquest-of-the-cage-1,Conquest Of The Cage 1,2007-Nov  6,2007-11-06,EF,892,https://www.tapology.com/fightcenter/promotions/892-conquest-of-the-cage-cotc
34828,https://www.tapology.com/fightcenter/events/34828-the-ultimate-fighter-season-11,The Ultimate Fighter Season 11,2010-Jan 29,2010-01-29,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
7234,https://www.tapology.com/fightcenter/events/7234-xfc-australia-3,XFC Australia 3,2003-Nov 14,2003-11-14,XFC,529,https://www.tapology.com/fightcenter/promotions/529-xtreme-fighting-championships-australia-xfc-australia
3303,https://www.tapology.com/fightcenter/events/3303-xfc-australia-2,XFC Australia 2,2003-Aug 30,2003-08-30,XFC,529,https://www.tapology.com/fightcenter/promotions/529-xtreme-fighting-championships-australia-xfc-australia
