id,tapology_promotion_id,tapology_slug,name,baseline_strength,sport_type
ae427b97-53d0-5e2a-a157-36126c57a7e8,3,3-tachi-palace-fights-tpf,Tachi Palace Fights,0.58400,mma
7057b5a7-90c0-56c6-9474-a680fd5f864e,355,355-cage-rage-championships-cr,Cage Rage Championships,0.58200,mma
c86f59b5-5f7c-5c8b-bf5a-3ff6e93ab4c4,13,13-xtreme-knockout-xko,Xtreme Knockout,0.58100,mma
b5e23349-b541-5b68-8ea8-8488f762a842,1979,1979-golden-boy-promotions-gbp,Golden Boy Promotions,0.58050,mma
75a2b602-a893-5004-b76d-d1947aadf044,2747,2747-canelo-promotions-cp,Canelo Promotions,0.58000,boxing
f30ff2ee-8b09-5448-b5bd-085b758fbf11,4266,4266-prime-show-mma-pmmas,Prime Show MMA,0.58000,boxing_cage
f63b1c65-8c80-56fe-babf-d4d70bab86c7,2740,2740-groupe-yvon-michel-gym,Groupe Yvon Michel,0.57200,boxing
499a79a9-9ae5-5f28-9cae-8184dcc8db51,76,76-australian-fighting-championship-afc,Australian Fighting Championship,0.57200,mma
da15ff11-6082-5cbf-8692-f225792e4cf4,3862,3862-triller-fight-club-tfc,Triller Fight Club,0.57100,boxing
aaff6748-49f3-5b9e-b6ef-c8fecf00122a,2565,2565-babilon-mma-bab,Babilon MMA,0.57100,mma
bfc1eaa4-cbd5-53fc-83ca-1ea8c247d1c1,1991,1991-knock-out-kbk,KNOCK OUT,0.57000,custom
88701a3f-f70b-5736-a5e6-df5796bca2b8,2736,2736-spyder-bjj-championship-sbbjc,Spyder BJJ Championship,0.57000,grappling
acc34ed3-3ab3-54ef-af8b-c7cce41718ee,1962,1962-nuit-des-champions-ndc,Nuit des Champions,0.57000,kickboxing
7ee86213-f4d9-5bfa-9bb2-a19fdf4604e8,2575,2575-duco-events-duco,Duco Events,0.56200,boxing
b3afe174-6dcd-5f05-b6a3-65b39c327fa3,389,389-shooto-brasil-sb,Shooto Brasil,0.56200,mma
6177dd70-f4cc-5787-a54b-1efd3bfcc78d,4502,4502-misfits-boxing-mf,Misfits Boxing,0.56100,boxing
8535c968-98f5-5899-9ee2-d8746826b502,628,628-100-fight,100% Fight,0.56100,mma
b9b607a4-d4d4-5a11-8ceb-0e5e1cdc2037,1815,1815-legacy-fighting-alliance-lfa,Legacy Fighting Alliance,0.55600,mma
a16e2e4c-35f3-5b0b-bd0c-e23940a99343,81,81-elite-xtreme-combat-exc,Elite Xtreme Combat,0.55500,mma
5f247acd-8dda-57e4-9ef7-0cf0ddb5ccef,35,35-ring-of-combat-roc,Ring of Combat,0.55300,mma
14df9ad6-e71f-576e-bf4a-320a4e255c13,22,22-legacy-fighting-championship-lfc,Legacy Fighting Championship,0.55200,mma
56464dcf-80fb-579d-8260-7662cbe195d9,1791,1791-international-vale-tudo-championship-ivc,International Vale Tudo Championship,0.55100,mma
d3f4e395-8c53-573d-b5a3-2f52429d761b,15,15-ultimate-warrior-fighting-mma-uwfmma,Ultimate Warrior Fighting MMA,0.55080,mma
5109d050-3611-5281-8f1b-216398db6538,3374,3374-probellum-mma-pmma,Probellum MMA,0.55060,mma
24109688-aa33-5228-a2a6-db49ab291a34,56,56-xtreme-fighting-organization-xfo,Xtreme Fighting Organization,0.55040,mma
770b4fde-5b90-52da-8d38-6159b1b9e77d,1591,1591-wsof-global-championship-wsofgc,WSOF Global Championship,0.55020,mma
2ffe4140-a8f9-5e94-914f-73de67f1ffe4,4723,4723-king-in-the-ring-kitr,King in the Ring,0.55000,kickboxing
c5931d9f-80f5-5b1e-8f2d-e96bc2730b45,51,51-championship-fighting-alliance-cfa,Championship Fighting Alliance,0.54300,mma
65969471-1cc0-5cfc-bd6a-2adb7cfcdcc5,2642,2642-star-boxing-sb,Star Boxing,0.54200,boxing
f35ff8d2-3832-5744-b026-724a2f1905d6,265,265-tuff-n-uff,Tuff-N-Uff,0.54200,mma
6f4e1949-4dc1-5b77-a5b7-70f45a746c91,4648,4648-3150-fight-3150,3150 Fight,0.54100,boxing
03581dca-ecab-5b68-bc95-87b231cb9804,873,873-far-eastern-federation-of-modern-pankration-fefomp,Far Eastern Modern Pankration Federation,0.54100,mma
3b01d718-b82e-5f87-9d9d-48130e491190,4979,4979-subversiv-combat-jiu-jitsu-s,Subversiv Combat Jiu Jitsu,0.54000,grappling
47d01af8-d851-5603-858e-96877a6fd126,3442,3442-federatia-local-kombat-romania-flkr,Federatia Local Kombat Romania,0.54000,kickboxing
7e2a0d4e-99b7-57bf-a90d-0a779e72b303,3163,3163-valor-bare-knuckle-vbk,Valor Bare Knuckle,0.54000,knuckle
57ac8ab6-4210-5b27-aa51-db10fc24eca5,5448,5448-971-fighting-championship-971fc,971 Fighting Championship,0.53100,mma
d060ab24-a016-5597-b29a-f7f9f3adfec4,1638,1638-art-of-war-fighting-championship-aow,Art of War Fighting Championship,0.53050,mma
fdf80239-15d1-5a00-9796-ed4352231169,41,41-shark-fights-sf,Shark Fights,0.52350,mma
8e31a1f3-ac90-5e2d-80fd-1e459ba9e8ae,2602,2602-sampson-boxing-sb,Sampson Boxing,0.52300,boxing
52df3ed4-fc14-5ff4-b172-177a37680586,189,189-jewels-womens-fighting-entertainment,JEWELS Women's Fighting Entertainment,0.52300,mma
e2b84693-1973-5601-9f93-69e1ffade171,4209,4209-pravda-fight-championship-pfc,Pravda Fight Championship,0.52200,boxing
d248d51c-4e0e-54a8-81a8-4009bc3f76a8,3649,3649-national-fighting-championship-nfc,National Fighting Championship,0.52200,mma
0e5a28d4-3ef8-5d72-a10b-9298c92ab617,3872,3872-combate-global-cg,Combate Global,0.52150,mma
b93e8a24-17e4-5d87-a1ff-dee9577e9ecb,5234,5234-crypto-fight-night-cfn,Crypto Fight Night,0.52100,boxing
4d63841f-a6a6-5b9e-839d-953efeba6221,2692,2692-third-coast-grappling-championship-tcgc,Third Coast Grappling Championship,0.52000,grappling
eb8391e0-6b60-5a3f-9942-d87f61a4ac91,3771,3771-j-network-kickboxing-jnet,J Network Kickboxing,0.52000,kickboxing
d71a5d21-bea4-58df-9104-9adc7ab13cea,2821,2821-byb-extreme-fighting-series-byb,Bare Knuckle Boxing,0.52000,knuckle
26cb9f18-cf9d-508b-a38c-90e62cd3f0b7,128,128-invicta-fighting-championships-ifc,Invicta Fighting Championships,0.51300,mma
66c24c74-6538-5e03-b2ba-c352fdd3627b,2656,2656-no-limit-boxing-nlb,No Limit Boxing,0.51200,boxing
b1de5bdd-d07e-5064-a933-a53ef83828b5,6,6-international-fight-league-ifl,International Fight League,0.51200,mma
c91edbf8-7c62-522e-85eb-a7eb6ae45d6a,2668,2668-ringstar-sports-rss,Ringstar Sports,0.51100,boxing
52b1deda-5681-5005-9f26-c446ab27363a,1910,1910-angels-fighting-af,Angel's Fighting Championship,0.51100,mma
a1b6b244-a522-5440-a2fd-1a559859ece6,4536,4536-intense-fight-championship-ifc,Intense Fight Championship,0.51000,boxing_cage
b818241d-52a8-5819-862a-4ef033594093,4088,4088-medusa-jiu-jitsu-mjj,Medusa Jiu-Jitsu,0.51000,grappling
432a9854-d1a8-5b79-9540-b75843a55b92,643,643-free-fight-association-germany-ffa,We Love MMA,0.50350,mma
4e12848a-a8b8-5c39-adeb-6af3af7d7d07,2272,2272-naiza-fighter-championship-nfc,Naiza Fighting Championship,0.50300,mma
67722fdc-0360-5bfa-a33b-b565fe77adf2,436,436-shooto-europe-se,Shooto Europe,0.50250,mma
ba7b1673-e598-545a-88b9-c4eb017dcb74,2678,2678-salita-promotions-sp,Salita Promotions,0.50200,boxing
