uuid,event_id,name,date,location,num_fights,url
2c9922e8-1d26-51b0-bb43-00025636c868,dfdd0c5dd0d4bc23,UFC 181: Hendricks vs Lawler II,2014-12-06,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/dfdd0c5dd0d4bc23
395df15a-d8cf-542d-be51-f14134cae103,222d6b547de2e035,The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/222d6b547de2e035
40aa76d4-496f-5eae-b943-52cd4f08b91a,d4a12dfa4067742f,UFC on FOX: Dos Santos vs Miocic,2014-12-13,"Phoenix, Arizona, USA",12,http://www.ufcstats.com/event-details/d4a12dfa4067742f
61e2cc20-6a19-5514-8bad-7db0ef073998,4e5bbc4566049cbf,UFC Fight Night: Machida vs Dollaway,2014-12-20,"Barueri, Sao Paulo, Brazil",12,http://www.ufcstats.com/event-details/4e5bbc4566049cbf
56051a2b-a904-5383-9a93-d4a74a5edd34,a72d260b436924c4,UFC 182: Jones vs Cormier,2015-01-03,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/a72d260b436924c4
f26c4fc4-2ed2-50a1-9a8f-cfb69a736778,f9aa6376ae16bfb4,UFC Fight Night: McGregor vs Siver,2015-01-18,"Boston, Massachusetts, USA",12,http://www.ufcstats.com/event-details/f9aa6376ae16bfb4
58689bc6-ed23-55d6-8cce-ce072ad70913,706404da0775dcbc,UFC on FOX: Gustafsson vs Johnson,2015-01-24,"Stockholm, Sweden",12,http://www.ufcstats.com/event-details/706404da0775dcbc
e2ecfa58-89f5-55d3-9b94-c6717e709801,43563a32c3f10e95,UFC 183: Silva vs Diaz,2015-01-31,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/43563a32c3f10e95
f2dac980-59ba-5f78-9b2e-a614d3aaa4fb,f9c7fe2682af3802,UFC Fight Night: Henderson vs Thatch,2015-02-14,"Broomfield, Colorado, USA",10,http://www.ufcstats.com/event-details/f9c7fe2682af3802
0b13aae2-d0f9-5816-af7e-b9f0b7952685,0577808d22dfe79c,UFC Fight Night: Bigfoot vs Mir,2015-02-22,"Porto Alegre, Rio Grande do Sul, Brazil",11,http://www.ufcstats.com/event-details/0577808d22dfe79c
c54acc10-eab4-5986-aaef-9eeba36b1313,ad4e9055bf8cd04d,UFC 184: Rousey vs Zingano,2015-02-28,"Los Angeles, California, USA",11,http://www.ufcstats.com/event-details/ad4e9055bf8cd04d
46bac143-5ee0-5a32-aa74-bcd8c9dbd0ce,f54200f1dfb9b5d4,UFC 185: Pettis vs Dos Anjos,2015-03-14,"Dallas, Texas, USA",12,http://www.ufcstats.com/event-details/f54200f1dfb9b5d4
16fa6bd2-5137-55d3-9f9b-1b2249be92a6,fa534853eb195270,UFC Fight Night: Maia vs LaFlare,2015-03-21,"Rio de Janeiro, Brazil",12,http://www.ufcstats.com/event-details/fa534853eb195270
94eea597-1a88-58d7-aba5-1e2b6fa75ff9,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,2015-04-04,"Fairfax, Virginia, USA",10,http://www.ufcstats.com/event-details/16d09e800ad7ec79
13b96bbf-9355-5354-afa1-4b70d3f8c995,5de61b03868035ff,UFC Fight Night: Gonzaga vs Cro Cop 2,2015-04-11,"Krakow, Poland",12,http://www.ufcstats.com/event-details/5de61b03868035ff
2ed292f9-c263-533a-b86c-375091696bc7,bc7cf284c1c2f16e,UFC on FOX: Machida vs Rockhold,2015-04-18,"Newark, New Jersey, USA",11,http://www.ufcstats.com/event-details/bc7cf284c1c2f16e
320b6a39-783e-51f2-9f2a-0a43a0036bd5,997b4f52f76a0b53,UFC 186: Johnson vs Horiguchi,2015-04-25,"Montreal, Quebec, Canada",12,http://www.ufcstats.com/event-details/997b4f52f76a0b53
08585e78-c358-5049-bffd-7bd9c2dc6b27,8a1b4330c7957961,UFC Fight Night: Miocic vs Hunt,2015-05-09,"Adelaide, South Australia, Australia",12,http://www.ufcstats.com/event-details/8a1b4330c7957961
9c43953a-0328-522d-831e-9655826bcd5d,b1605ea39fba6af6,UFC Fight Night: Edgar vs Faber,2015-05-16,"Manila, Philippines",12,http://www.ufcstats.com/event-details/b1605ea39fba6af6
b67cc14c-0976-5f5f-928c-1f44f1877028,4f7e290e71d60f87,UFC 187: Johnson vs Cormier,2015-05-23,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/4f7e290e71d60f87
9ad7a7b8-78a8-5e26-9696-837f4ac82395,aae0897825336b1a,UFC Fight Night: Condit vs Alves,2015-05-30,"Goiania, Goias, Brazil",12,http://www.ufcstats.com/event-details/aae0897825336b1a
aa55c8df-9927-5aa0-8eae-2bf16a99a5de,06dc1a58663579d2,UFC Fight Night: Boetsch vs Henderson,2015-06-06,"New Orleans, Louisiana, USA",12,http://www.ufcstats.com/event-details/06dc1a58663579d2
d50d73dd-ffa6-5ca7-99b8-bb1ac54e3827,a58114c6dd0add64,UFC 188: Velasquez vs Werdum,2015-06-13,"Mexico City, Distrito Federal, Mexico",11,http://www.ufcstats.com/event-details/a58114c6dd0add64
3e8e09f5-fdfb-5bd9-af01-78fa336f754c,194fc025f9355db6,UFC Fight Night: Jedrzejczyk vs Penne,2015-06-20,"Berlin, Berlin, Germany",11,http://www.ufcstats.com/event-details/194fc025f9355db6
21a2c013-8e5c-5764-8e4e-6185f3691fb1,86e388ed20761ad9,UFC Fight Night: Machida vs Romero,2015-06-27,"Hollywood, Florida, USA",9,http://www.ufcstats.com/event-details/86e388ed20761ad9
66702c92-d916-5f64-8472-66b1aea6a287,3be081c29bf734d9,UFC 189: Mendes vs McGregor,2015-07-11,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/3be081c29bf734d9
555103dc-4975-54a2-b7fe-d18e6bce2f52,a890f9a791ed615d,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/a890f9a791ed615d
a3045ebd-246d-592d-bd40-3d7d5a359c12,36877f0e62b25b96,UFC Fight Night: Mir vs Duffee,2015-07-15,"San Diego, California, USA",12,http://www.ufcstats.com/event-details/36877f0e62b25b96
54e05dd4-8d16-5800-bff6-d81ed35a925a,ef7fa30364cbe7f2,UFC Fight Night: Bisping vs Leites,2015-07-18,"Glasgow, Scotland, United Kingdom",12,http://www.ufcstats.com/event-details/ef7fa30364cbe7f2
635bdcbb-8520-5dbe-ad3e-e704ed76ee8c,0c3838c8f7c620c2,UFC on FOX: Dillashaw vs. Barao II,2015-07-25,"Chicago, Illinois, USA",12,http://www.ufcstats.com/event-details/0c3838c8f7c620c2
50676d5a-11b2-512f-81d8-8feeadb17d15,a9c45a8b21eabadc,UFC 190: Rousey vs Correia,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",13,http://www.ufcstats.com/event-details/a9c45a8b21eabadc
e6fe75cf-5fd5-5348-8ea6-e18d725e8766,b71667c778b6d9e5,UFC Fight Night: Teixeira vs Saint Preux,2015-08-08,"Nashville, Tennessee, USA",13,http://www.ufcstats.com/event-details/b71667c778b6d9e5
5e261524-9374-503a-9d11-ecc6408b5cc1,2ce6541127b0e232,UFC Fight Night: Holloway vs Oliveira,2015-08-23,"Saskatoon, Saskatchewan, Canada",12,http://www.ufcstats.com/event-details/2ce6541127b0e232
63ecfcfd-6486-59d9-9d86-ae9b2b782845,82f5c81f4e3c3eb5,UFC 191: Johnson vs Dodson 2,2015-09-05,"Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/82f5c81f4e3c3eb5
4c25f1a3-5f47-524e-8dc1-0104dd7ddb09,a4dd5c9a75763295,UFC Fight Night: Barnett vs Nelson,2015-09-26,"Saitama, Japan",10,http://www.ufcstats.com/event-details/a4dd5c9a75763295
1bf29edb-89a7-56a1-bcfb-9b8504424953,119ebea97e914dcf,UFC 192: Cormier vs Gustafsson,2015-10-03,"Houston, Texas, USA",12,http://www.ufcstats.com/event-details/119ebea97e914dcf
55183ca8-d466-593f-994d-f62befec4179,f3155a94ca420126,UFC Fight Night: Holohan vs Smolka,2015-10-24,"Dublin, Leinster, Ireland",10,http://www.ufcstats.com/event-details/f3155a94ca420126
809bb774-b3a3-51c6-8a7a-56fb69de2aa3,5345f86680378fc1,UFC Fight Night: Belfort vs Henderson 3,2015-11-07,"Sao Paulo, Sao Paulo, Brazil",13,http://www.ufcstats.com/event-details/5345f86680378fc1
fd3c87e6-0afe-50bb-b99a-49245950a4ef,8d04923f2db59b7f,UFC 193: Rousey vs Holm,2015-11-14,"Melbourne, Victoria, Australia",13,http://www.ufcstats.com/event-details/8d04923f2db59b7f
c704ca56-4be3-5282-96b9-48a4bb296a0f,243b07fc65ccbb16,UFC Fight Night: Magny vs Gastelum,2015-11-21,"Monterrey, Nuevo Leon, Mexico",13,http://www.ufcstats.com/event-details/243b07fc65ccbb16
e0c29048-30b0-5808-8a0d-d25fa25a6979,4d636c3aa1105950,UFC Fight Night: Henderson vs Masvidal,2015-11-28,"Seoul, South Korea",11,http://www.ufcstats.com/event-details/4d636c3aa1105950
96f1bb21-b0b4-54e3-b01e-d7c1f795d6de,dd39f1ca787a3d9d,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/dd39f1ca787a3d9d
dc90c869-38ec-50f8-9ac2-24eea355ffd0,20fbff570c678e1c,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,"Las Vegas, Nevada, USA",10,http://www.ufcstats.com/event-details/20fbff570c678e1c
14a5e4c0-2270-507d-b2f9-9a29f4eb4019,354808cf38d9d73c,UFC 194: Aldo vs McGregor,2015-12-12,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/354808cf38d9d73c
337e1b4a-e190-52ad-9e2c-e07c56635771,80d918336163b80c,UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,"Orlando, Florida, USA",13,http://www.ufcstats.com/event-details/80d918336163b80c
